"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"	"P-value"	"Correlation"	"RMSE"
"SUB142630_0.0"	0.0283059983840139	0	0	0	0.0872873356971822	0.0899609138426197	0.106160006222539	0	0	0.168671442296278	0.185314079229847	0	0.209694832837903	0.00540208628230354	0	0	0.00688021662667909	0.00367073296694394	0.00676581889949966	0	0.0739100453778983	0.0279764913362928	0	0.512017757300232	0.858167676282381
"SUB142630_1.0"	0.0303871661570902	0	0	0	0.114218028986609	0.0316108978081449	0.0755459204395032	0	0	0.17461100713237	0.063880970920751	0	0.346180438315833	0.028184886961324	0.00332607871656115	0	0.0148615670068945	0.00410377942728839	0.0159454493621269	0	0.0670823323710808	0.0300614763944227	0	0.531616530840614	0.846913483419944
"SUB142630_3.0"	0.047197731999926	0	0	0.0130338173250829	0.0788318668081269	0.0870394750572942	0.0689991088070227	0	0	0.192745552736036	0.138265079268802	0	0.275760867897702	0	0	0	0.00808619568570698	0.00380855844930237	0.00129217627913189	0	0.0487179178034472	0.0362216518824182	0	0.526825239502653	0.849066370227525
"SUB142630_7.0"	0.0297580137204967	0.00461641151675936	0	0	0.102179693505033	0.118214612657619	0.0806640263297072	0	0	0.197072380181667	0.151068854282557	0	0.16181039650384	0.00805107486887276	0	0	0.00818438917010005	0.00928419121650421	0	0.0078813630424337	0.0601014693796198	0.0611131236247897	0	0.520440731791698	0.85304684766296
"SUB142630_14.0"	0.0486624781616181	0	0	0.0145653742213489	0.0605576088036833	0.0821228690423508	0.0834848527966098	0	0	0.194582788415028	0.140882233495458	0	0.265148513646751	0.0064643934552735	0	0	0.00759826956780192	0.00320575489162316	0.00135943556765332	0	0.0495910811715466	0.0417743467632538	0	0.556812241111644	0.830296992791729
"SUB142601_0.0"	0.0718662018496286	0	0	0.0119344905761155	0.14364313637758	0.0248416366121831	0.144421242096369	0.00645893903683148	0	0.251936993791599	0.0482441742471451	0	0.148784272168433	0.0191289280333306	0.0014439675099267	0	0.00550984827463314	0.00935697440891941	0.0129351486103814	0	0.0637038897882496	0.0357901566186741	0	0.546010928159641	0.838502682716195
"SUB142601_1.0"	0.0620288845906245	0	0	0.0642296466984523	0.0847678115582859	0.0147821006749269	0.119708052758568	0.00307391508151433	0	0.299093386912425	0.0475445884796565	0	0.158598752557313	0.0154798945854127	0.00447504144131057	0	0.0133786122170833	0	0.0308152357826459	0	0.0412819319996438	0.0407421446621367	0	0.644202425946952	0.77375902658261
"SUB142601_3.0"	0.0566342755402009	0	0	0.125445905458748	0.0687485321133063	0	0.135815741208856	0	0	0.319162837474128	0.0751926568442846	0	0.129419052867055	4.61820854258962e-06	0	0	0	0.00158558085939477	0.0221732965195813	0	0.0269365666633429	0.0388809362425598	0	0.584286690856902	0.810777337783421
"SUB142601_7.0"	0.101609512166369	0	0	0.0502020670230238	0.147749206596406	0.0643537300239929	0.0814748659167126	0.0090502651642227	0	0.262956331477988	0.0268641543046159	0	0.109725917559567	0.014392973156177	0.00376021865484951	0	0.0148483317598229	0.000821587657953495	0.00145511558562032	0	0.0501246062085685	0.0606111167441104	0	0.653536853134083	0.767695659572698
"SUB142601_14.0"	0.0542771128740274	0	0	0.135874722719989	0.0758232936549808	0	0.138319607849498	0	0	0.345584426506639	0.045519292389183	0	0.116003558970105	0.00255303909478101	0	0	0	0.00129687278216433	0.0259025441786993	0	0.0301951651359937	0.0286503638439401	0	0.664391773404159	0.75122913265833
